TO,IC
2667,2009
3790,3133
4863,4219
5947,5305
6976,6365
7973,7395
9070,8412
10078,9459
11115,10498
12141,11543
13192,12562
14255,13611
15280,14675
16357,15730
17402,16776
18417,17829
19414,18827
20496,19859
21513,20906
22558,21939
23594,22971
24617,24022
25662,25063
26684,26089
27757,27122
28799,28176
29831,29219
30870,30249
31914,31296
32943,32341
33950,33354
34987,34370
35995,35398
37086,36453
38139,37499
39182,38550
40234,39597
41301,40657
42359,41736
43422,42790
44472,43839
45533,44882
46573,45952
47656,47021
48718,48083
49780,49153
